Model : ,06,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-07,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.06,0.30,0.11,0.08,0.07,0.01,-0.01,309.12,29.39,0.00,-0.28,-2.68
-0.07,0.28,0.12,0.08,0.09,0.02,-0.01,307.33,29.39,0.00,-0.12,-2.80
-0.07,0.26,0.12,0.08,0.10,0.04,0.00,305.05,29.39,0.00,0.06,-2.88
-0.07,0.23,0.11,0.08,0.11,0.06,0.01,303.20,29.39,0.00,0.17,-2.89
-0.07,0.19,0.10,0.07,0.11,0.07,0.02,302.24,29.39,0.00,0.17,-2.83
-0.07,0.15,0.09,0.06,0.10,0.09,0.02,302.31,29.38,0.00,0.08,-2.73
-0.07,0.13,0.08,0.04,0.09,0.09,0.03,303.24,29.38,0.00,-0.06,-2.60
-0.06,0.12,0.08,0.02,0.08,0.08,0.03,304.23,29.38,0.00,-0.21,-2.47
-0.06,0.12,0.07,0.01,0.07,0.06,0.03,303.83,29.38,0.00,-0.35,-2.36
-0.05,0.12,0.07,-0.00,0.06,0.04,0.03,301.12,29.38,0.00,-0.46,-2.29
-0.05,0.13,0.07,0.00,0.05,0.02,0.03,296.61,29.39,0.00,-0.51,-2.26
-0.04,0.15,0.08,0.01,0.04,0.00,0.02,291.35,29.38,0.00,-0.45,-2.29
-0.03,0.16,0.09,0.02,0.04,-0.01,0.00,286.26,29.38,0.00,-0.21,-2.38
-0.03,0.17,0.10,0.03,0.05,-0.01,-0.01,282.63,29.37,0.00,0.10,-2.51
-0.03,0.18,0.12,0.05,0.06,-0.01,-0.02,282.29,29.36,0.00,0.34,-2.65
-0.03,0.18,0.13,0.06,0.08,0.00,-0.02,286.07,29.35,0.00,0.39,-2.76
-0.04,0.18,0.13,0.07,0.09,0.01,-0.02,292.64,29.35,0.00,0.24,-2.82
-0.05,0.17,0.13,0.07,0.10,0.03,-0.02,299.68,29.34,0.00,-0.05,-2.82
-0.06,0.15,0.12,0.07,0.11,0.04,-0.01,305.41,29.33,0.00,-0.41,-2.75
-0.06,0.12,0.11,0.07,0.11,0.06,0.00,308.95,29.33,0.00,-0.76,-2.63
-0.07,0.09,0.10,0.05,0.11,0.07,0.01,310.15,29.33,0.00,-0.99,-2.49
-0.07,0.08,0.09,0.04,0.10,0.07,0.02,309.48,29.32,0.00,-1.05,-2.38
-0.07,0.08,0.09,0.02,0.09,0.07,0.02,307.78,29.32,0.00,-0.98,-2.31
-0.06,0.08,0.09,0.01,0.08,0.05,0.02,305.93,29.33,0.00,-0.87,-2.30
-0.06,0.09,0.11,-0.00,0.06,0.03,0.02,304.49,29.33,0.00,-0.80,-2.35
-0.05,0.11,0.13,-0.00,0.05,0.02,0.01,303.68,29.34,0.00,-0.77,-2.45
-0.04,0.12,0.15,0.00,0.04,0.00,0.00,303.45,29.34,0.00,-0.73,-2.58
-0.04,0.14,0.18,0.02,0.04,-0.01,-0.01,303.61,29.34,0.00,-0.61,-2.72
-0.04,0.16,0.21,0.03,0.05,-0.01,-0.02,303.59,29.33,0.00,-0.43,-2.83
-0.05,0.18,0.22,0.04,0.06,-0.01,-0.03,302.23,29.33,0.00,-0.22,-2.87
-0.05,0.18,0.23,0.06,0.07,0.00,-0.03,298.85,29.33,0.00,-0.02,-2.83
-0.06,0.17,0.24,0.07,0.09,0.02,-0.02,294.31,29.33,0.00,0.10,-2.73
-0.07,0.15,0.24,0.07,0.10,0.03,-0.01,290.47,29.33,0.00,0.09,-2.60
-0.07,0.11,0.23,0.07,0.10,0.05,-0.00,288.66,29.33,0.00,-0.08,-2.49
-0.08,0.08,0.22,0.06,0.10,0.06,0.01,289.29,29.33,0.00,-0.36,-2.43
-0.08,0.05,0.22,0.04,0.10,0.07,0.02,292.57,29.34,0.00,-0.64,-2.42
-0.08,0.03,0.21,0.02,0.09,0.07,0.03,298.20,29.34,0.00,-0.82,-2.48
-0.09,0.03,0.20,0.01,0.09,0.07,0.03,304.62,29.34,0.00,-0.88,-2.58
-0.08,0.04,0.20,-0.01,0.08,0.06,0.04,309.72,29.34,0.00,-0.80,-2.70
-0.08,0.06,0.21,-0.01,0.07,0.05,0.03,312.23,29.35,0.00,-0.58,-2.84
-0.06,0.07,0.22,-0.01,0.06,0.03,0.02,312.18,29.35,0.00,-0.30,-2.95
-0.05,0.08,0.24,-0.00,0.05,0.02,0.01,310.34,29.35,0.00,-0.09,-2.99
-0.04,0.10,0.26,0.01,0.06,0.01,-0.01,307.66,29.35,0.00,-0.01,-2.95
-0.04,0.12,0.28,0.03,0.06,0.01,-0.02,305.01,29.35,0.00,-0.05,-2.84
-0.04,0.13,0.29,0.04,0.07,0.00,-0.03,302.91,29.34,0.00,-0.11,-2.69
-0.05,0.14,0.30,0.06,0.08,0.01,-0.03,301.52,29.34,0.00,-0.09,-2.54
-0.06,0.13,0.29,0.07,0.09,0.01,-0.02,300.77,29.34,0.00,-0.00,-2.41
-0.06,0.12,0.29,0.08,0.10,0.02,-0.01,300.51,29.34,0.00,0.06,-2.35
-0.07,0.09,0.28,0.08,0.10,0.04,0.00,300.53,29.34,0.00,0.01,-2.36
-0.08,0.06,0.27,0.08,0.10,0.06,0.02,300.34,29.34,0.00,-0.13,-2.43
-0.08,0.04,0.26,0.07,0.09,0.07,0.03,298.98,29.35,0.00,-0.28,-2.57
-0.08,0.03,0.25,0.05,0.09,0.07,0.04,295.85,29.35,0.00,-0.35,-2.75
-0.08,0.02,0.24,0.03,0.08,0.07,0.04,292.03,29.35,0.00,-0.33,-2.93
-0.07,0.03,0.23,0.02,0.07,0.06,0.05,289.93,29.34,0.00,-0.17,-3.04
-0.06,0.05,0.22,0.01,0.06,0.05,0.04,291.20,29.34,0.00,0.10,-3.06
-0.05,0.07,0.23,0.01,0.05,0.04,0.04,295.45,29.34,0.00,0.41,-2.98
-0.05,0.10,0.24,0.01,0.04,0.03,0.03,301.38,29.34,0.00,0.64,-2.85
-0.04,0.13,0.25,0.02,0.04,0.02,0.01,307.67,29.34,0.00,0.70,-2.70
-0.04,0.15,0.27,0.04,0.04,0.02,-0.00,312.79,29.35,0.00,0.61,-2.56
-0.04,0.17,0.28,0.05,0.05,0.02,-0.01,315.12,29.36,0.00,0.45,-2.45
-0.05,0.18,0.28,0.06,0.06,0.03,-0.01,314.03,29.36,0.00,0.26,-2.37
-0.05,0.18,0.28,0.08,0.08,0.04,-0.01,310.47,29.36,0.00,0.12,-2.32
-0.06,0.16,0.27,0.08,0.10,0.06,-0.00,306.07,29.36,0.00,0.10,-2.33
-0.06,0.13,0.26,0.08,0.11,0.07,0.01,302.19,29.36,0.00,0.20,-2.41
